name,date
SAMD00495984,2016-11-08
SAMEA4964281,2011-10
SAMEA4964282,2011-10
SAMEA4964283,2012-01
SAMEA4964291,2014-05
SAMEA4964292,2014-06
SAMEA4964284,2012-01
SAMEA4964287,2014-03
SAMEA4964290,2014-04
SAMEA4964293,2014-06
SAMEA4964294,2014-06
SAMEA112667339,2021-11-23
SAMEA104358080,2017-09-14
SAMEA104413433,2013-03-19
SAMN12662472,2019-08
SAMN12662474,2019-08
SAMN12662489,2019-08
SAMN12669461,2019-08
SAMN12670435,2019-08
SAMN12670434,2019-08
SAMN12670439,2019-08
SAMN12670432,2019-08
SAMN12684821,2017-11-15
SAMN12684898,2017-11-15
SAMN12684924,2017-11-15
SAMN12702524,2019-08
SAMN12702550,2019-08
SAMN12711718,2019-08
SAMN12713614,2019-08
SAMN12713613,2019-08
SAMN12713615,2019-08
SAMN12713621,2019-08
SAMN12713618,2019-08
SAMN12713617,2019-08
SAMN12715315,2017-11-15
SAMN12715327,2017-11-15
SAMN12715324,2017-11-15
SAMN12715359,2017-11-15
SAMN12715352,2017-11-15
SAMN12773241,1997-07-29
SAMN12773159,1996-05-21
SAMN12773238,1997-06-03
SAMN12773230,1997-05-27
SAMN12773228,1997-05-27
SAMN12773219,1997-05-09
SAMN12773207,1997-03-24
SAMN12773206,1997-03-24
SAMN12773201,1998-06-15
SAMN12773155,1996-05-21
SAMN12773197,1996-07-24
SAMN12773196,1996-07-24
SAMN12773166,1996-06-17
SAMN12909612,2019-09
SAMN12909602,2019-09
SAMN12909600,2019-09
SAMN12909650,2019-09
SAMN13160643,2019-10
SAMN13387984,2019-11-14
SAMN13387978,2019-11-14
SAMN13670652,2019-12
SAMN14655760,2020-04
SAMN14764522,2020-04
SAMN14771358,2020-04
SAMEA4964280,2011-10
SAMEA4964285,2014-09
SAMEA4964288,2014-03
SAMEA4964289,2014-03
SAMEA4964295,2014-09
SAMN14850254,2011-10
SAMN14850257,2012-05
SAMN14850268,2011-10
SAMN14850280,2012-06
SAMN14850272,2012-04
SAMN14850309,2012-06
SAMN14913484,2012-09
SAMN14913516,2012-09
SAMN14913509,2013-03
SAMN14913511,2012-09
SAMN14913519,2012-07
SAMN14939620,2013-10
SAMN14939621,2013-10
SAMN14978654,2009-07-03
SAMN14992955,2014-06
SAMN14992951,2014-08
SAMN14992949,2014-04
SAMN14992947,2014-08
SAMN14992972,2014-07
SAMN14992981,2014-07
SAMN14992980,2014-09
SAMN14992970,2014-10
SAMN14992982,2020-05
SAMN14992967,2012-11
SAMN14993004,2015-06-16
SAMN14993993,2015-06-16
SAMN14993972,2015-06-16
SAMN14993973,2015-06-16
SAMN14993975,2015-06-16
SAMN14994013,2015-06-16
SAMN14999146,2020-05
SAMN15063704,2008-04
SAMN15063703,2008-01
SAMN15086523,2015-06-16
SAMN15086521,2015-06-16
SAMN15086522,2015-06-16
SAMN15086516,2015-06-16
SAMN15086517,2015-06-16
SAMN15086543,2015-06-16
SAMN15086614,2015-06-16
SAMN15086616,2015-06-16
SAMN15086609,2015-06-16
SAMN15086612,2015-06-16
SAMN15086623,2015-06-16
SAMN15096427,2004-06
SAMN15096435,2008-10
SAMN15103040,2015-06-16
SAMN15103042,2015-06-16
SAMN15103044,2015-06-16
SAMN15103034,2015-06-16
SAMN15103272,2015-06-16
SAMN15103344,2015-06-16
SAMN15103328,2015-06-16
SAMN15103292,2015-06-16
SAMN15103391,2012-03
SAMN15300253,2005-03
SAMN15337429,2013-08
SAMN15337445,2014-06
SAMN15337441,2014-09
SAMN15337444,2014-10
SAMN15337432,2014-06
SAMN15447926,2020-06
SAMN15453008,2020-06
SAMN15504534,2020-07
SAMN15513450,2020-07
SAMN15513451,2020-07
SAMN15521970,2012-06-14
SAMN15521999,2012-09-12
SAMN15521997,2012-03-13
SAMN15521991,2013-07-16
SAMN15521988,2013-06-20
SAMN15521985,2013-06-18
SAMN15521983,2013-06-13
SAMN15521981,2013-06-08
SAMN15521975,2012-06-26
SAMN15562196,2020-07
SAMN15575941,2020-07
SAMN15639984,2020-07
SAMN15639970,2020-07
SAMN15639972,2020-07
SAMN15680249,2020-07
SAMN15738501,2020-07
SAMN15758635,2014-07-21
SAMN15760072,2020-07
SAMN15760071,2020-07
SAMN15804159,2020-08
SAMN15804162,2020-08
SAMN15814278,2020-08
SAMN15825359,2020-08
SAMN15825362,2020-08
SAMN15831829,2015-06-16
SAMN15858876,2020-08
SAMN15888937,2020-08
