sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy
SAMN04362088,SRR3146316,2015-10,2015-09-30,2015-10-31,USA,PNUSAE001946,stool,ILLUMINA,Illumina MiSeq,WGS
SAMN04362089,SRR3146317,2015-10,2015-09-30,2015-10-31,USA,PNUSAE001947,stool,ILLUMINA,Illumina MiSeq,WGS
SAMN04362090,SRR3146321,Unknown,,,USA,PNUSAE001948,stool,ILLUMINA,Illumina MiSeq,WGS
SAMN34409103,SRR24326333,missing,,,USA,PNUSAE133765,missing,ILLUMINA,Illumina MiSeq,WGS
SAMN04577857,SRR3289514,2015-07,2015-06-30,2015-07-31,United Kingdom: None,136538,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577865,SRR3289523,2015-07,2015-06-30,2015-07-31,United Kingdom: None,140626,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577867,SRR3289525,2011-03,2011-03-01,2011-03-31,United Kingdom: None,125986,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577902,SRR3289542,2015-08,2015-07-31,2015-08-31,United Kingdom: None,142255,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577904,SRR3289544,2015-08,2015-07-31,2015-08-31,United Kingdom: None,152503,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577908,SRR3289549,2012-10,2012-09-30,2012-10-31,United Kingdom: None,126035,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577913,SRR3289556,2015-08,2015-07-31,2015-08-31,United Kingdom: None,149260,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577935,SRR3289568,2013-01,2013-01-01,2013-01-31,United Kingdom: None,135136,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577940,SRR3289573,2015-08,2015-07-31,2015-08-31,United Kingdom: None,143638,human,ILLUMINA,Illumina HiSeq 2500,WGS
SAMN04577942,SRR3289576,2013-02,2013-02-01,2013-02-28,United Kingdom: None,126039,human,ILLUMINA,Illumina HiSeq 2500,WGS
