,sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read,clade
1222,SAMN12731546,SRR10235848,2013-02-08,2013-02-08,2013-02-08,Canada: Ontario,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2013,02,08,,,False,Clade C1
1223,SAMN12731563,SRR10235874,2013-08-02,2013-08-01,2013-08-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,08,02,,,False,Clade C1
1224,SAMN12731564,SRR10235878,2013-09-08,2013-09-07,2013-09-08,Canada: Quebec,,urine,ILLUMINA,Illumina MiSeq,WGS,2013,09,08,,,False,Clade C1
1225,SAMN12731577,SRR10235880,2013-08-01,2013-07-31,2013-08-01,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,08,01,,,False,Clade C1
1226,SAMN12731581,SRR10236248,2013-09-09,2013-09-08,2013-09-09,Canada: Saskatchewan,,blood,ILLUMINA,Illumina MiSeq,WGS,2013,09,09,,,False,Clade C1
1227,SAMN12731602,SRR10237151,2014-01-26,2014-01-26,2014-01-26,Canada: New Brunswick,,respiratory,ILLUMINA,Illumina MiSeq,WGS,2014,01,26,,,False,Unassigned
1228,SAMN12731597,SRR10237155,2014-01-02,2014-01-02,2014-01-02,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2014,01,02,,,False,Clade C1
1229,SAMN12731607,SRR10237161,2014-03-04,2014-03-04,2014-03-04,Canada: Saskatchewan,,blood,ILLUMINA,Illumina MiSeq,WGS,2014,03,04,,,False,Clade C1
1230,SAMN12731616,SRR10237194,2014-05-07,2014-05-06,2014-05-07,Canada: Ontario,,urine,ILLUMINA,Illumina MiSeq,WGS,2014,05,07,,,False,Clade C1
1231,SAMN12731648,SRR10237898,2014-06-02,2014-06-01,2014-06-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2014,06,02,,,False,Clade C1
1232,SAMN12731662,SRR10241432,2015-01-03,2015-01-03,2015-01-03,Canada: Manitoba,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,01,03,,,False,Clade C1
1233,SAMN12731666,SRR10244684,2015-03-04,2015-03-04,2015-03-04,Canada: Manitoba,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,03,04,,,False,Clade C1
1234,SAMN12731665,SRR10244686,2015-03-01,2015-03-01,2015-03-01,Canada: Manitoba,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,03,01,,,False,Clade C1
1235,SAMN12731667,SRR10244692,2015-01-04,2015-01-04,2015-01-04,Canada: Saskatchewan,,wound,ILLUMINA,Illumina MiSeq,WGS,2015,01,04,,,False,Clade C1
1236,SAMN12731675,SRR10251221,2015-01-29,2015-01-29,2015-01-29,Canada: Ontario,,wound,ILLUMINA,Illumina MiSeq,WGS,2015,01,29,,,False,Clade C1
1237,SAMN12731683,SRR10255008,2015-04-03,2015-04-02,2015-04-03,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,04,03,,,False,Clade C1
1238,SAMN12731694,SRR10257669,2015-06-01,2015-05-31,2015-06-01,Canada: British Columbia,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,06,01,,,False,Clade C1
1239,SAMN12731705,SRR10259147,2015-05-03,2015-05-02,2015-05-03,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,05,03,,,False,Clade C1
1240,SAMN12731706,SRR10259148,2015-08-02,2015-08-01,2015-08-02,Canada: Alberta,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,08,02,,,False,Clade C1
1241,SAMN12731708,SRR10259151,2015-03-03,2015-03-03,2015-03-03,Canada: Quebec,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,03,03,,,False,Clade C1
1242,SAMN12731714,SRR10267341,2015-10-15,2015-10-14,2015-10-15,Canada: Quebec,,urine,ILLUMINA,Illumina MiSeq,WGS,2015,10,15,,,False,Clade C1
1243,SAMN12731723,SRR10269945,2015-07-02,2015-07-01,2015-07-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,07,02,,,False,Clade C1
1244,SAMN12731718,SRR10269948,2015-08-10,2015-08-09,2015-08-10,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,08,10,,,False,Unassigned
1245,SAMN12731725,SRR10270328,2015-09-02,2015-09-01,2015-09-02,Canada: Ontario,,blood,ILLUMINA,Illumina MiSeq,WGS,2015,09,02,,,False,Clade C1
1246,SAMN13024359,SRR10271464,2014-03-30,2014-03-30,2014-03-30,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,03,30,,,False,Clade C1
1247,SAMN13024370,SRR10271476,2015-08-25,2015-08-24,2015-08-25,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2000,WGS,2015,08,25,,,False,Clade B
1248,SAMN13023752,SRR10271495,2014-07-11,2014-07-10,2014-07-11,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2014,07,11,,,False,Clade C1
1249,SAMN13023754,SRR10271497,2013-11-04,2013-11-04,2013-11-04,United Kingdom: Oxford,,clinical sample,ILLUMINA,Illumina HiSeq 2500,WGS,2013,11,04,,,False,Clade B
