sample_accession,run_accession,collection_date,collection_date_start,collection_date_end,country,strain,isolation_source,instrument_platform,instrument_model,library_strategy,year,month,day,state,hhs_region,has_long_read
SAMN06650956,SRR5384334,2012-11-09,2012-11-09,2012-11-09,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2012,11,09,,,False
SAMN06650955,SRR5384335,2012-11-07,2012-11-07,2012-11-07,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2012,11,07,,,False
SAMN06650954,SRR5384336,2013-03-01,2013-03-01,2013-03-01,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2013,03,01,,,False
SAMN06650950,SRR5384340,2012-10-24,2012-10-23,2012-10-24,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2012,10,24,,,False
SAMN06650947,SRR5384343,2012-05-08,2012-05-07,2012-05-08,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2012,05,08,,,False
SAMN06650945,SRR5384345,2013-01-19,2013-01-19,2013-01-19,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2013,01,19,,,False
SAMN06650943,SRR5384347,2011-08-30,2011-08-29,2011-08-30,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2011,08,30,,,False
SAMN06650942,SRR5384348,2011-06-23,2011-06-22,2011-06-23,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2011,06,23,,,False
SAMN06650940,SRR5384350,2011-06-06,2011-06-05,2011-06-06,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2011,06,06,,,False
SAMN06650937,SRR5384353,2011-09-16,2011-09-15,2011-09-16,Belgium: Leuven,SX4,Laboratory evolution experiment,ILLUMINA,Illumina HiSeq 2000,WGS,2011,09,16,,,False
SAMN07450650,SRR5943233,2016-02-19,2016-02-19,2016-02-19,Thailand: Chiang Mai,ECFood+06,food,ILLUMINA,NextSeq 500,WGS,2016,02,19,,,False
SAMN07450630,SRR5943482,2015-03-08,2015-03-08,2015-03-08,Thailand: Lamphun,ECSW+09,Rectal swab,ILLUMINA,NextSeq 500,WGS,2015,03,08,,,False
SAMN06650518,SRR5395583,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650515,SRR5395586,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650512,SRR5395589,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650511,SRR5395590,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650510,SRR5395591,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650508,SRR5395593,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650507,SRR5395594,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650501,SRR5395600,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650500,SRR5395601,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650499,SRR5395602,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650497,SRR5395604,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650495,SRR5395606,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650494,SRR5395607,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650490,SRR5395611,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650487,SRR5395614,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650484,SRR5395617,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650480,SRR5395621,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650478,SRR5395623,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650476,SRR5395625,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650470,SRR5395631,2015-11-23,2015-11-23,2015-11-23,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,11,23,,,False
SAMN06650467,SRR5395634,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650465,SRR5395636,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650464,SRR5395637,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650463,SRR5395638,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650462,SRR5395639,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650450,SRR5395651,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650449,SRR5395652,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650448,SRR5395653,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650447,SRR5395654,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650446,SRR5395655,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650442,SRR5395659,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650441,SRR5395660,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650436,SRR5395665,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650432,SRR5395669,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
SAMN06650430,SRR5395671,2015-09-21,2015-09-20,2015-09-21,Israel,K-12,Lab-grown strain,ILLUMINA,Illumina HiSeq 2500,CLONE,2015,09,21,,,False
